# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25FQ32ESS	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32EST	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESU	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESW	BOYA_MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ512ESE	BOYA_MICRO		67108864	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ512ESF	BOYA_MICRO		67108864	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ512ESZ	BOYA_MICRO		67108864	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELH	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELQ	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELS	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELT	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELW	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESH	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESQ	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESS	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64EST	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESW	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALO	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALS	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALT	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
